identifiant,pays_code,pays,secteur_activite_code,secteur,denomination_sociale,adresse_1,adresse_2,adresse_3,adresse_4,code_postal,ville
HPXSEHWQ,[FR],FRANCE,[DMDIV],Dispositifs médicaux de diagnostic in vitro,perkinElmer,16 Av du Québec,Bat Lys,"","",91140,Villebon sur Yvette
XXVQWEGO,[FR],FRANCE,[DM],Dispositifs médicaux,AUDITION REMI LAMOINE,"37, Bd Général Leclerc","","","",33120,ARCACHON
USLHXJOZ,[FR],FRANCE,[PA],Prestataires associés,K. PARTICULIER,37 rue des Acacias,"","","",75017,PARIS
YLTAJHSI,[FR],FRANCE,[DM],Dispositifs médicaux,TRANSYSTEME SN,217 rue Charles Nungesser,Le Mas des Cavaliers,"","",34130,MAUGUIO
MRRGUIXF,[FR],FRANCE,[DM],Dispositifs médicaux,ONIRIS,704 avenue Roger Salengro,"","","",92370,Chaville
QFNWXURY,[FR],FRANCE,[DM],Dispositifs médicaux,Carvadys S.A.S,97 allée Alexandre Borodine,Parc Woodclub,"","",69800,Saint Priest
RKIYNMWN,[FR],FRANCE,[PA],Prestataires associés,ALPHEGA,"222, Rue des Caboeufs","","","",92230,gennevilliers
ZTJPATHI,[US],ÉTATS-UNIS,[MED],Médicaments humains,REGULUS THERAPEUTICS INC.,3545 John Hopkins Court, Suite 210,CA92121-1121,"",CA 92121,SAN DIEGO
VYLSULBP,[US],ÉTATS-UNIS,[MED],Médicaments humains,Genen-Tech Inc,1 DNA Way,"","","",94080,South San Francisco
UNIYTFXE,[FR],FRANCE,[DM],Dispositifs médicaux,TRB CHEMEDICA,37 RUE RENE CASSIN,ZAC LA CHATELAINE,"","",74240,GAILLARD
ZDRFIIGZ,[GB],ROYAUME-UNI,[AUT],Autres,L&L Rsourcing,33 Lewis road,welling ,kent,"",da161sd,Welling
DNPLOVNE,[IT],ITALIE,[DM],Dispositifs médicaux,NOBEL BIOCARE ITALIANA SRL,ENERGY PARK Building 03 - Lato Sud,"Via Energy Park, 6","","",20871,Vimercate
TLGOOVKA,[FR],FRANCE,[DM],Dispositifs médicaux,TEOXANE FRANCE,25 Boulevard Malesherbes,"","","",75008,Paris
SOBANJDS,[FR],FRANCE,[DM],Dispositifs médicaux,CORSE OXYGENE,ZA PURETTONE,LOT 28,"","",20290,BORGO
OEXUFTXY,[FR],FRANCE,[DM],Dispositifs médicaux,SARL AUNIS AUDITION,70 RUE DE LA REPUBLIQUE ,"","","",17300,ROCHEFORT
YHVWUHEM,[DE],ALLEMAGNE,[AUT],Autres,rc - research & consulting GmbH,Mauerstr. 8,"","","",33602,Bielefeld
XQHUXMYS,[CH],SUISSE,[PA],Prestataires associés,ONCommit,"Avenue des Baumettes, 11","","","",1020,Renens
PKEXPDIP,[FR],FRANCE,[DM],Dispositifs médicaux,Ultradent Products GmbH,5 chemin des Jubins,"","","",69570,DARDILLY
WPDNQYAO,[FR],FRANCE,[DM],Dispositifs médicaux,Ophtalmic Compagnie,ZA Paris NORD II,22 Avenue des Nations,"Immeuble ""Le Rousseau""",BP 55306 Villepinte,95940 ,Roissy CDG CEDEX
YJWNPTSX,[FR],FRANCE,[AUT],Autres,SARL AUDITION AQUITAINE,34 ROUTE DE TOULOUSE,"","","",33800,BORDEAUX
GCIHESEV,[SE],SUÈDE,[DM],Dispositifs médicaux,DENTSPLY IH AB,Aminogatan 1,box 14,"","",431 21,MÖLNDAL
STDKNBIO,[RE],RÉUNION,[AUT],Autres,AUDITION OUTRE MER,1 Chemin cachalot,"","","",97410,SAINT PIERRE
BMEURKJH,[FR],FRANCE,[AUT],Autres,SARL LABORATOIRE DUPONT,48 Rue Nicolas Oresme,"","","",14000,CAEN
KWUUIQMV,[FR],FRANCE,[MED],Médicaments humains,ALMIRALL SAS,"1, Boulevard VICTOR","Immeuble ""Le Barjac""","","",75015,PARIS
TPVMYCGK,[ZA],AFRIQUE DU SUD,[DMDIV],Dispositifs médicaux de diagnostic in vitro,Roche Products (Pty) Ltd South Africa, P O Box 55922 ,"","","",2116  ,Northlands 
HSLKDKYO,[NL],PAYS-BAS,[DM],Dispositifs médicaux,KCI EUROPE HOLDING B.V.,DUITKOOT 1,"","","",3990 GA,HOUTON
PRXDANVT,[FR],FRANCE,[DM],Dispositifs médicaux,Dominique TATE,30 RUE BEAUSEJOUR,"","","",03700,BELLERIVE SUR ALLIER 
GSSMMFHW,[FR],FRANCE,[PA],Prestataires associés,CLIN DATA MANAGEMENT,15 rue d'Alsace ,ZI ,"","",68250,ROUFFACH
QAVOXEIB,[FR],FRANCE,[AUT],Autres,STATESIA,19-21 RUE THALES DE MILET ,"","","",72000,LE MANS
HAPYMGDZ,[FR],FRANCE,[DM],Dispositifs médicaux,DOMISANTE PROXIMED,9 AVENUE DE LA VERTONNE,"","","",44120,VERTOU
